"","date","plot","location","code","weight","binomial","lifeform","family","genus","species"
"1",2018-09-22,1,"away","BoGr",4.35,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"2",2018-09-22,1,"away","LITT",14.56,"litter","LITT","litter","litter",NA
"3",2018-09-22,1,"away","LITT",8.09,"litter","LITT","litter","litter",NA
"4",2018-09-22,1,"away","SoEl",0.26,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"5",2018-09-22,1,"under","LITT",2.42,"litter","LITT","litter","litter",NA
"6",2018-09-22,1,"under","RaCo",1.11,"Ratibida columnifera","Forb","Asteraceae","Ratibida","columnifera"
"7",2018-09-22,2,"away","BoGr",0.81,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"8",2018-09-22,2,"away","GuSa",0.23,"Gutierrezia sarothrae","Forb","Asteraceae","Gutierrezia","sarothrae"
"9",2018-09-22,2,"away","LITT",3.6,"litter","LITT","litter","litter",NA
"10",2018-09-22,2,"away","LITT",1.11,"litter","LITT","litter","litter",NA
"11",2018-09-22,2,"under","BoGr",4.99,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"12",2018-09-22,2,"under","LITT",7.57,"litter","LITT","litter","litter",NA
"13",2018-09-22,3,"away","BoGr",1.31,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"14",2018-09-22,3,"away","LITT",2.4,"litter","LITT","litter","litter",NA
"15",2018-09-22,3,"away","LITT",0.82,"litter","LITT","litter","litter",NA
"16",2018-09-22,3,"under","BoGr",1.79,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"17",2018-09-22,3,"under","GuSa",0.24,"Gutierrezia sarothrae","Forb","Asteraceae","Gutierrezia","sarothrae"
"18",2018-09-22,3,"under","LITT",7.85,"litter","LITT","litter","litter",NA
"19",2018-09-22,4,"away","AmPS",0.16,"Ambrosia psilostachya","Forb","Asteraceae","Ambrosia","psilostachya"
"20",2018-09-22,4,"away","LITT",7.4,"litter","LITT","litter","litter",NA
"21",2018-09-22,4,"under","LITT",3.74,"litter","LITT","litter","litter",NA
"22",2018-09-22,5,"away","BoGr",1.48,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"23",2018-09-22,5,"away","LITT",2.91,"litter","LITT","litter","litter",NA
"24",2018-09-22,5,"away","LITT",6.43,"litter","LITT","litter","litter",NA
"25",2018-09-22,5,"under","BoGr",1.07,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"26",2018-09-22,5,"under","GuSa",0.16,"Gutierrezia sarothrae","Forb","Asteraceae","Gutierrezia","sarothrae"
"27",2018-09-22,5,"under","LITT",3.68,"litter","LITT","litter","litter",NA
"28",2018-09-22,6,"away","BoGr",4.39,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"29",2018-09-22,6,"away","BoGr",1.9,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"30",2018-09-22,6,"away","LITT",2.27,"litter","LITT","litter","litter",NA
"31",2018-09-22,6,"away","LITT",10.24,"litter","LITT","litter","litter",NA
"32",2018-09-22,6,"under","LITT",5.36,"litter","LITT","litter","litter",NA
"33",2018-09-22,7,"away","BoGr",9.17,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
